created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-04-15 08:12:37 UTC,330,26.00,"73.10

",,,,
2021-04-15 08:12:54 UTC,331,25.90,"73.00

",,,,
2021-04-15 08:13:09 UTC,332,26.00,"73.30

",,,,
2021-04-15 08:13:25 UTC,333,26.00,"73.40

",,,,
2021-04-15 08:13:41 UTC,334,26.00,"73.50

",,,,
2021-04-15 08:13:58 UTC,335,26.00,"73.50

",,,,
2021-04-15 08:14:13 UTC,336,26.00,"73.40

",,,,
2021-04-15 08:14:30 UTC,337,26.00,"73.40

",,,,
2021-04-15 08:14:46 UTC,338,26.00,"73.30

",,,,
2021-04-15 08:15:01 UTC,339,26.00,"73.20

",,,,
2021-04-15 08:15:18 UTC,340,26.00,"73.10

",,,,
2021-04-15 08:15:34 UTC,341,26.00,"73.40

",,,,
2021-04-15 08:15:50 UTC,342,26.00,"73.30

",,,,
2021-04-15 08:16:05 UTC,343,26.00,"73.00

",,,,
2021-04-15 08:16:22 UTC,344,26.00,"73.00

",,,,
2021-04-15 08:16:37 UTC,345,26.00,"72.90

",,,,
2021-04-15 08:16:54 UTC,346,26.00,"72.90

",,,,
2021-04-15 08:17:10 UTC,347,26.00,"73.20

",,,,
2021-04-15 08:17:26 UTC,348,26.00,"73.10

",,,,
2021-04-15 08:17:42 UTC,349,26.00,"73.00

",,,,
2021-04-15 08:17:58 UTC,350,26.00,"72.90

",,,,
2021-04-15 08:18:14 UTC,351,26.00,"72.90

",,,,
2021-04-15 08:18:30 UTC,352,26.00,"73.70

",,,,
2021-04-15 08:18:46 UTC,353,26.00,"72.80

",,,,
2021-04-15 08:19:02 UTC,354,26.00,"73.00

",,,,
2021-04-15 08:19:18 UTC,355,26.00,"72.90

",,,,
2021-04-15 08:19:34 UTC,356,26.00,"72.90

",,,,
2021-04-15 08:19:49 UTC,357,26.00,"72.80

",,,,
2021-04-15 08:20:05 UTC,358,26.00,"73.00

",,,,
2021-04-15 08:20:21 UTC,359,26.00,"72.80

",,,,
2021-04-15 08:20:38 UTC,360,26.00,"72.60

",,,,
2021-04-15 08:20:54 UTC,361,26.00,"72.80

",,,,
2021-04-15 08:21:09 UTC,362,25.90,"72.70

",,,,
2021-04-15 08:21:24 UTC,363,25.90,"72.80

",,,,
2021-04-15 08:21:40 UTC,364,25.90,"72.60

",,,,
2021-04-15 08:21:57 UTC,365,25.90,"72.80

",,,,
2021-04-15 08:22:12 UTC,366,25.90,"72.80

",,,,
2021-04-15 08:22:29 UTC,367,25.90,"72.70

",,,,
2021-04-15 08:22:45 UTC,368,25.80,"72.60

",,,,
2021-04-15 08:23:01 UTC,369,25.80,"72.70

",,,,
2021-04-15 08:23:16 UTC,370,25.80,"72.80

",,,,
2021-04-15 08:23:33 UTC,371,25.80,"72.70

",,,,
2021-04-15 08:23:48 UTC,372,25.80,"72.90

",,,,
2021-04-15 08:24:03 UTC,373,25.80,"73.00

",,,,
2021-04-15 08:24:19 UTC,374,25.80,"73.20

",,,,
2021-04-15 08:24:34 UTC,375,25.80,"73.10

",,,,
2021-04-15 08:24:49 UTC,376,25.70,"73.00

",,,,
